Titre,Entreprise,Source,Lien
Frontend Developer,Quinncia Inc,Remotive,https://remotive.com/remote-jobs/software-development/frontend-developer-2090991
Tech Lead Full-Stack Rails Engineer,Mitre Media,Remotive,https://remotive.com/remote-jobs/software-development/tech-lead-full-stack-rails-engineer-2069746
Assistant Account Payable,The Obesity Society,Remotive,https://remotive.com/remote-jobs/medical/assistant-account-payable-2090989
Head of Engineering,Lemon.io,Remotive,https://remotive.com/remote-jobs/software-development/head-of-engineering-2090983
Office Assistant,Coalition Technologies ,Remotive,https://remotive.com/remote-jobs/marketing/office-assistant-1680495
Quality Assurance Rater - German (Germany),TELUS Digital,Remotive,https://remotive.com/remote-jobs/all-others/quality-assurance-rater-german-germany-2090988
Senior Data Scientist,Lemon.io,Remotive,https://remotive.com/remote-jobs/data/senior-data-scientist-2090982
iOS Developer,nooro,Remotive,https://remotive.com/remote-jobs/software-development/ios-developer-1956455
High-Ticket Financial Sales Specialist & Team Lead Track,FSE LLC,Remotive,https://remotive.com/remote-jobs/sales/high-ticket-financial-sales-specialist-team-lead-track-2090949
Inside Sales Contractor,"Credit Wellness, LLC",Remotive,https://remotive.com/remote-jobs/sales/inside-sales-contractor-2086540
Online Data Analyst Canada (French Language),TELUS Digital,Remotive,https://remotive.com/remote-jobs/all-others/online-data-analyst-canada-french-language-2090945
Online Data Analyst United States Spanish speakers,TELUS Digital,Remotive,https://remotive.com/remote-jobs/all-others/online-data-analyst-united-states-spanish-speakers-2090946
Online Data Analyst Canada,TELUS Digital,Remotive,https://remotive.com/remote-jobs/all-others/online-data-analyst-canada-2090944
Senior BI Developer (Tableau),Proxify,WorkingNomads,https://www.workingnomads.com/job/go/1705883/
Senior Microsoft Dynamics 365 Developer,Proxify,WorkingNomads,https://www.workingnomads.com/job/go/1705882/
Senior Java Backend Developer,Proxify,WorkingNomads,https://www.workingnomads.com/job/go/1705880/
Senior Ruby on Rails Developer,Proxify,WorkingNomads,https://www.workingnomads.com/job/go/1705878/
Senior Python AI Engineer,Proxify,WorkingNomads,https://www.workingnomads.com/job/go/1705876/
Senior Data Engineer (Python),Proxify,WorkingNomads,https://www.workingnomads.com/job/go/1705874/
Senior DevOps Engineer (Azure),Proxify,WorkingNomads,https://www.workingnomads.com/job/go/1705873/
Senior Frontend Developer (React.js / Next.js),Proxify,WorkingNomads,https://www.workingnomads.com/job/go/1705871/
Senior Fullstack Developer (React.js / Node.js),Proxify,WorkingNomads,https://www.workingnomads.com/job/go/1705869/
Senior Sharepoint Developer,Proxify,WorkingNomads,https://www.workingnomads.com/job/go/1705867/
Senior Frontend Developer (Angular.js/React.js),Proxify,WorkingNomads,https://www.workingnomads.com/job/go/1705865/
Senior Salesforce Developer,Proxify,WorkingNomads,https://www.workingnomads.com/job/go/1705861/
Senior Backend Developer (Python),Proxify,WorkingNomads,https://www.workingnomads.com/job/go/1705859/
Senior AI Engineer (LLM),Proxify,WorkingNomads,https://www.workingnomads.com/job/go/1705857/
Senior Laravel Developer,Proxify,WorkingNomads,https://www.workingnomads.com/job/go/1705863/
Client Success Manager (US small & medium businesses),Integrated Hire,WorkingNomads,https://www.workingnomads.com/job/go/1701460/
Senior Flutter Developer,Lemon.io,WorkingNomads,https://www.workingnomads.com/job/go/1699984/
Senior Swift & SwiftUI Developer,Lemon.io,WorkingNomads,https://www.workingnomads.com/job/go/1691057/
Looking For Online ESL Teachers - Remote,Polly English,WorkingNomads,https://www.workingnomads.com/job/go/1690536/
Senior React Full-stack Developer,Lemon.io,WorkingNomads,https://www.workingnomads.com/job/go/1688480/
Senior Performance Marketer (Full Remote - Worldwide),EverAI Limited,WorkingNomads,https://www.workingnomads.com/job/go/1687329/
Senior AI Vertical Mini-Series Director (Full Remote - Worldwide),EverAI Limited,WorkingNomads,https://www.workingnomads.com/job/go/1687328/
Mid/Senior AI Cinematic Video Editor (Full Remote - Worldwide),EverAI Limited,WorkingNomads,https://www.workingnomads.com/job/go/1687327/
Senior DevOps Engineer,Lemon.io,WorkingNomads,https://www.workingnomads.com/job/go/1685353/
Senior Google Ads Account Manager - Remote (Work From Home),StubGroup,WorkingNomads,https://www.workingnomads.com/job/go/1677142/
Senior React Native Developer,Lemon.io,WorkingNomads,https://www.workingnomads.com/job/go/1663269/
Quality Assurance Rater - English speakers (Remote),TELUS Digital,WorkingNomads,https://www.workingnomads.com/job/go/1659921/
Quality Assurance Rater - German (DE),TELUS Digital,WorkingNomads,https://www.workingnomads.com/job/go/1659833/
Senior UI & UX / Graphic Designer,Lemon.io,WorkingNomads,https://www.workingnomads.com/job/go/1658647/
Content Creator - Location-Based Video Tours (EU Only) - €50 onboarding,Toureasy d.o.o.,WorkingNomads,https://www.workingnomads.com/job/go/1656359/
Senior Blockchain Developer,Lemon.io,WorkingNomads,https://www.workingnomads.com/job/go/1656108/
AI Content Analyst (No Experience Required),Peroptyx,WorkingNomads,https://www.workingnomads.com/job/go/1656107/
Data Analyst (No Experience Required),Peroptyx,WorkingNomads,https://www.workingnomads.com/job/go/1656105/
Senior AI Engineer / Architect,Lemon.io,WorkingNomads,https://www.workingnomads.com/job/go/1654179/
Contract Case Processing Manager (Remote - Texas),Sneed|Mitchell LLP,WorkingNomads,https://www.workingnomads.com/job/go/1653121/
Protocol Review Specialist,Sun Coast Sciences,WorkingNomads,https://www.workingnomads.com/job/go/1652764/
"New
Computational Photonics Engineer
		    LumiAIres Ltd
                
Glasgow, Scotland, United Kingdom","New
Computational Photonics Engineer
		    LumiAIres Ltd",Python.org,https://www.python.org/jobs/8105/
"New
Senior Python Developer
		    Turing
                
Remote, Remote, Remote","New
Senior Python Developer
		    Turing",Python.org,https://www.python.org/jobs/8103/
"New
Python Machine Learning Engineer
		    Turing
                
Remote, Remote, Remote","New
Python Machine Learning Engineer
		    Turing",Python.org,https://www.python.org/jobs/8102/
"New
Python Developer
		    Micro1
                
Remote, Remote, Anywhere","New
Python Developer
		    Micro1",Python.org,https://www.python.org/jobs/8101/
"New
Junior Python Developer - AI & Innovation Team
		    Adzuna
                
Remote, Remote","New
Junior Python Developer - AI & Innovation Team
		    Adzuna",Python.org,https://www.python.org/jobs/8098/
"New
Data Acquisition & Infrastructure Engineer
		    Iconic Art AI
                
Montreal, QC, Canada","New
Data Acquisition & Infrastructure Engineer
		    Iconic Art AI",Python.org,https://www.python.org/jobs/8097/
"New
Senior Data Engineer (100% Remote - USA Only)
		    Six Feet Up
                
100% Remote, USA","New
Senior Data Engineer (100% Remote - USA Only)
		    Six Feet Up",Python.org,https://www.python.org/jobs/8095/
"New
Agentic AI Scientist
		    AstraZeneca
                
Durham, North Carolina, USA","New
Agentic AI Scientist
		    AstraZeneca",Python.org,https://www.python.org/jobs/8094/
"New
Python / DevOps Engineer for Private Voice-AI Setup
		    JB Martyn
                
Illinois, Chicago, United States","New
Python / DevOps Engineer for Private Voice-AI Setup
		    JB Martyn",Python.org,https://www.python.org/jobs/8093/
"New
Python Engineer –  (DevOps/Internal Tools) FULLLY REMOTE
		    ActivePrime, Inc.
                
REMOTE, REMOTE","New
Python Engineer –  (DevOps/Internal Tools) FULLLY REMOTE
		    ActivePrime, Inc.",Python.org,https://www.python.org/jobs/8092/
"New
Senior Python AI/ML Engineer| Hybrid| Full-time
		    P.R.GLOlinks Consulting Private Limited
                
Bangalore, Pune, India","New
Senior Python AI/ML Engineer| Hybrid| Full-time
		    P.R.GLOlinks Consulting Private Limited",Python.org,https://www.python.org/jobs/8090/
"Founding ML/Data Scientist (Remote, UK)
		    MyDataValue
                
Remote - London UK, United Kingdom","Founding ML/Data Scientist (Remote, UK)
		    MyDataValue",Python.org,https://www.python.org/jobs/8089/
"Tech Lead (Python) | Remote – LATAM | Full-time
		    Crehana
                
LATAM, LATAM, LATAM","Tech Lead (Python) | Remote – LATAM | Full-time
		    Crehana",Python.org,https://www.python.org/jobs/8088/
"Principal Modeler – Model Development
		    Metropolitan Transportation Commission (MTC)
                
San Francisco, CA, United States","Principal Modeler – Model Development
		    Metropolitan Transportation Commission (MTC)",Python.org,https://www.python.org/jobs/8087/
"Senior Python & SAS Developer (Data Modernization)
		    Illumen Group Inc.
                
Suitland, MD, United States","Senior Python & SAS Developer (Data Modernization)
		    Illumen Group Inc.",Python.org,https://www.python.org/jobs/8083/
"Founding Engineer
		    MyDataValue
                
London, UK","Founding Engineer
		    MyDataValue",Python.org,https://www.python.org/jobs/8082/
"Senior Back-End Python Engineer - FULLY REMOTE-WORLDWIDE
		    ActivePrime, Inc.
                
REMOTE, REMOTE","Senior Back-End Python Engineer - FULLY REMOTE-WORLDWIDE
		    ActivePrime, Inc.",Python.org,https://www.python.org/jobs/8081/
"Senior BE Python Engineer for DevOps-FULLY REMOTE, U.S., CANADA, EUROPE based only
		    ActivePrime, Inc.
                
REMOTE, REMOTE","Senior BE Python Engineer for DevOps-FULLY REMOTE, U.S., CANADA, EUROPE based only
		    ActivePrime, Inc.",Python.org,https://www.python.org/jobs/8080/
"Senior Fullstack Software Engineer
		    Autodesk
                
London, United Kingdom","Senior Fullstack Software Engineer
		    Autodesk",Python.org,https://www.python.org/jobs/8079/
"Python Back-end Developer
		    Initialize
                
Remote, Remote, UK","Python Back-end Developer
		    Initialize",Python.org,https://www.python.org/jobs/8077/
"Associate Principal AI Scientist
		    AstraZeneca
                
Durham, North Carolina, USA","Associate Principal AI Scientist
		    AstraZeneca",Python.org,https://www.python.org/jobs/8076/
"Junior DevOps Engineer
		    Patrick J. McGovern Foundation
                
Remote, United States","Junior DevOps Engineer
		    Patrick J. McGovern Foundation",Python.org,https://www.python.org/jobs/8075/
"Research Advocate and Support Engineer
		    Redivis, Inc.
                
Oakland, CA, United States","Research Advocate and Support Engineer
		    Redivis, Inc.",Python.org,https://www.python.org/jobs/8074/
"Lead Python Backend Engineer
		    Reef Technologies
                
Warsaw (fully remote), Poland","Lead Python Backend Engineer
		    Reef Technologies",Python.org,https://www.python.org/jobs/8072/
"Senior Python Backend Engineer
		    Reef Technologies
                
Warsaw (fully remote), Poland","Senior Python Backend Engineer
		    Reef Technologies",Python.org,https://www.python.org/jobs/8071/
Infracost (YC W21) Is Hiring a Marketing Lead to Shift FinOps Left,N/A,HackerNews,https://www.ycombinator.com/companies/infracost/jobs/YTJcFwr-marketing-lead
Hazel (YC W24) Is Hiring for Our Largest Government Contract,N/A,HackerNews,https://www.ycombinator.com/companies/hazel-2/jobs/3epPWgu-full-stack-engineer-ts-sci
Proliferate (YC S25) Is Hiring,N/A,HackerNews,https://www.ycombinator.com/companies/proliferate/jobs/mMHvKR9-founding-product-engineer
Manufact (YC S25) Is Hiring a Developer Advocate in SF,N/A,HackerNews,https://www.ycombinator.com/companies/manufact/jobs/4cyWd6S-developer-advocate-partnerships-devrel
Dexter (YC F24) Is Hiring a Founding Engineer in Berlin,N/A,HackerNews,https://news.ycombinator.com/item?id=48744213
Supabase (YC S20) Is Hiring for Multigres,N/A,HackerNews,https://jobs.ashbyhq.com/supabase/2e718684-4f75-4a99-8d6b-3b6bd44e4228
Nox Metals (YC S25) Is Hiring SWE,N/A,HackerNews,https://www.ycombinator.com/companies/nox-metals/jobs/M1f1enD-software-engineer
Hightouch (YC S19) Is Hiring,N/A,HackerNews,https://hightouch.com/careers#open-positions
Liva AI (YC S25) Is Hiring,N/A,HackerNews,https://www.ycombinator.com/companies/liva-ai/jobs/gvtc3Ep-founding-operations-lead
Besimple AI (YC P25) Is Hiring,N/A,HackerNews,https://www.ycombinator.com/companies/besimple-ai/jobs/yWfhhOR-strategic-projects-lead-audio-data
Ashby (YC W19) Is Hiring EMEA Engineers Who Can Design,N/A,HackerNews,https://www.ashbyhq.com/careers?ashby_jid=87b96eef-edc1-4de4-adb6-d460126d02f8&utm_source=hn
Kyber (YC W23) Is Hiring a Head of Engineering,N/A,HackerNews,https://www.ycombinator.com/companies/kyber/jobs/FGmI8mx-head-of-engineering
Charge Robotics (YC S21) Is Hiring Software and Hardware Engineers,N/A,HackerNews,https://jobs.ashbyhq.com/charge-robotics
Wildcard (YC W25) is hiring an applied ML engineer,N/A,HackerNews,https://www.ycombinator.com/companies/wildcard/jobs/SEmo4di-founding-applied-ml-engineer
"Flexport (YC W14) Is Hiring in Indonesia, India, and Thailand",N/A,HackerNews,https://www.flexport.com/company/careers/
Trellis AI (YC W24)  hiring a product lead to build agents for healthcare access,N/A,HackerNews,https://www.ycombinator.com/companies/trellis-ai/jobs/Cg94htp-product-lead
Dalus (YC W25) Is Hiring a Senior Software Engineer in Germany,N/A,HackerNews,https://www.ycombinator.com/companies/dalus/jobs/5IDmKJt-senior-software-frontend-engineer-germany-office
Emerge Career (YC S22) Is Hiring a Founding Growth Marketer,N/A,HackerNews,https://www.ycombinator.com/companies/emerge-career/jobs/v0S1AEG-founding-growth-marketer
GoGoGrandparent (YC S16) is hiring Back end Engineers,N/A,HackerNews,https://www.ycombinator.com/companies/gogograndparent/jobs/2vbzAw8-backend-engineer
Proliferate (YC S25) is hiring to building open source Codex,N/A,HackerNews,https://www.ycombinator.com/companies/proliferate/jobs/L3copvK-founding-engineer
9 Mothers (YC P26) Is Hiring,N/A,HackerNews,https://9mothers.com/careers
Mbodi AI (YC P25) Is Hiring Founding Machine Learning Engineer (Robotics),N/A,HackerNews,https://www.ycombinator.com/companies/mbodi-ai/jobs/WYAcNkX-founding-machine-learning-engineer
"Nango (YC W23, dev infra) is hiring staff back end engineers",N/A,HackerNews,https://nango.dev/careers
Zettascale (YC S24) Is Hiring Founding FPGA Engineers,N/A,HackerNews,https://www.ycombinator.com/companies/zettascale/jobs/O9S1vqO-founding-engineer-fpga-rtl-asic-architect
AccessOwl (YC S22) is hiring an AI TypeScript Engineer to connect 300 SaaS tools,N/A,HackerNews,https://www.ycombinator.com/companies/accessowl/jobs/hfWAhVp-ai-enabled-senior-software-engineer-typescript-focus
Skyvern (YC S23) Is Hiring Open-Source Loving DevRel Engineers,N/A,HackerNews,https://www.ycombinator.com/companies/skyvern/jobs/1qRTlVx-founding-developer-marketing-open-source-ai
Piramidal (YC W24) – Software Engineers – NYC Onsite,N/A,HackerNews,https://news.ycombinator.com/item?id=48382853
Great Question (YC W21) Is Hiring Applied AI Interns,N/A,HackerNews,https://www.ycombinator.com/companies/great-question/jobs/J5TNvQH-ai-engineer-intern
"Telli (YC F24) is hiring in engineering, design, and GTM [Berlin, on-site]",N/A,HackerNews,https://hi.telli.com/join-us
